P/N,Cost to cost comp,Vendor,Q'ty ,vendor confirm date,ETD ,total_value,status,Ref Document,Ref Date
M623368013,,JIAYE,300,0,20140509,,0,,0
K821651195,,SHENKA,5936,0,20140514,,0,20191010-H01 K821651195,20191010
K821651195,,SHENKA,64,0,20140514,,0,20191010-H01 K821651195,20191010
SG-32K2-BH-R,,S LITE,1000,0,20140520,,0,,0
R811115C101,1.0,JIAYE,2880,0,20140520,2880.0,0,,0
C423988050,1.0,JIAYE,600,0,20140528,600.0,0,20180712-C01 C423988050,20180712
C423988050,1.0,JIAYE,27,0,20140528,27.0,0,20180712-C01 C423988050,20180712
R811118102,,JIAYE,535,0,20140528,,0,,0
R811118102,,JIAYE,2615,0,20140528,,0,,0
H211115122,1.0,JIAYE,4600,0,20140528,4600.0,0,,0
H211115122,1.0,JIAYE,2000,0,20140528,2000.0,0,,0
R811118101,,JIAYE,2000,0,20140528,,0,20230106-H01 R811118101,20230106
R811118101,,JIAYE,1550,0,20140528,,0,20230106-H01 R811118101,20230106
H211116122,1.0,JIAYE,2000,0,20140528,2000.0,0,,0
C423989050,1.0,JIAYE,1318,0,20140528,1318.0,0,20191120-H01 C423989050,20191120
C123186070,,JIAYE,2729,0,20140528,,0,,0
H211118122,1.0,JIAYE,540,0,20140528,540.0,0,,0
M723824124,,JIAYE,2100,0,20140528,,0,,0
60514B,,TOPWAY,1000,0,20140528,,0,,0
18838B,,TOPWAY,972,0,20140528,,0,,0
P220134010,,SHENKA,250,0,20140528,,0,,0
P220134010,,SHENKA,200,0,20140528,,0,,0
P220523010,1.0,SHENKA,462,0,20140528,462.0,0,,0
P220523010,1.0,SHENKA,1038,0,20140528,1038.0,0,,0
P220523010,1.0,SHENKA,1750,0,20140528,1750.0,0,,0
P223988010,,SHENKA,2400,0,20140528,,0,20190128-H01 P223988010,20190128
P223988010,,SHENKA,1086,0,20140528,,0,20190128-H01 P223988010,20190128
R121651054,,SHENKA,12500,0,20140528,,0,,0
R121651054,,SHENKA,1000,0,20140528,,0,,0
T221237100,,SHENKA,13000,0,20140528,,0,,0
P25685010,1.0,SHENKA,3400,0,20140528,3400.0,0,20190611-H01 P25685010,20190611
P25685010,1.0,SHENKA,3400,0,20140528,3400.0,0,20191202-H02 P25685010,20191202
P25685010,1.0,SHENKA,3400,0,20140528,3400.0,0,20230926-H02 P25685010,20230926
8B21651500,1.0,SHENKA,3000,0,20140528,3000.0,0,,0
P25645010,,SHENKA,400,0,20140528,,0,,0
P28240010,,SHENKA,1000,0,20140528,,0,,0
C223982072,1.0,HENSUNG,2008,0,20140528,2008.0,0,,0
P323988060,,HENSUNG,2000,0,20140528,,0,,0
B220124041,,HENSUNG,3282,0,20140528,,0,,0
G15685034,1.0,HENSUNG,10000,0,20140528,10000.0,0,,0
M65645013,,HENSUNG,800,0,20140528,,0,,0
V221237089,,HENSUNG,10000,0,20140528,,0,,0
B221651041,,HENSUNG,8400,0,20140528,,0,,0
B221651041,,HENSUNG,600,0,20140528,,0,,0
A24957021,1.0,HENSUNG,100,0,20140528,100.0,0,,0
A24957021,1.0,HENSUNG,1900,0,20140528,1900.0,0,,0
K821651195,,GOSTAR,11000,0,20140528,,0,20191010-H01 K821651195,20191010
SG-32SK2-SX,1.0,S LITE,340,0,20140525,340.0,0,,0
480-0022-2,1.0,S LITE,864,0,20140525,864.0,0,20190411-C01 480-0022-2,20190411
480-0022-2,1.0,S LITE,864,0,20140525,864.0,0,20200820-H01 480-0022-2,20200820
480-0027-00,1.0,S LITE,864,0,20140525,864.0,0,20230117-H01 480-0027-00 Revised 20230206,20230117
480-0027-00,1.0,S LITE,864,0,20140525,864.0,0,20230504-C01 480-0027-00,20230504
SGB-32S,1.0,S LITE,2500,0,20140525,2500.0,0,20220428-H01 SGB-32S - Revised 20220929,20220428
SG-32SK2-SK,1.0,S LITE,700,0,20140525,700.0,0,,0
SG-LOCK-SC10,,S LITE,1000,0,20140525,,0,,0
SG-32SK2-AD,1.0,S LITE,780,0,20140525,780.0,0,,0
SG-32SK2-AD,1.0,S LITE,820,0,20140525,820.0,0,,0
SCPS-DASK-CWSI,,S LITE,1400,0,20140525,,0,,0
480-0013-2,1.0,S LITE,500,0,20140525,500.0,0,,0
F202553,,FRONT,1000,0,20140530,,0,,0
MZH30,,FRONT,2700,0,20140530,,0,,0
DOBERMAN,1.0,HONGCHANG,1600,0,20140530,1600.0,0,,0
DOBERMAN,1.0,HONGCHANG,2000,0,20140530,2000.0,0,,0
SGST-W,1.0,HONGCHANG,1500,0,20140530,1500.0,0,,0
SGST-W,1.0,HONGCHANG,1500,0,20140530,1500.0,0,,0
H508,,HONGCHANG,120,0,20140530,,0,,0
P323988060,,HENSUNG,1317,0,20140604,,0,,0
P323988060,,HENSUNG,183,0,20140604,,0,,0
M821651035,1.0,JIAYE,29600,0,20140616,29600.0,0,,0
C423988050,1.0,JIAYE,4500,0,20140616,4500.0,0,20180712-C01 C423988050,20180712
H211115122,1.0,JIAYE,1858,0,20140616,1858.0,0,,0
R811118101,,JIAYE,1000,0,20140616,,0,20230106-H01 R811118101,20230106
R811118101,,JIAYE,1500,0,20140616,,0,20230106-H01 R811118101,20230106
R811118101,,JIAYE,560,0,20140616,,0,20230106-H01 R811118101,20230106
H211116122,1.0,JIAYE,1400,0,20140616,1400.0,0,,0
H211116122,1.0,JIAYE,3400,0,20140616,3400.0,0,,0
H211116122,1.0,JIAYE,1000,0,20140616,1000.0,0,,0
C18238070,,JIAYE,750,0,20140616,,0,,0
T820077172,1.0,JIAYE,4500,0,20140616,4500.0,0,20221012-H01 T820077172,20221012
T820077172,1.0,JIAYE,4500,0,20140616,4500.0,0,20230227-H01 T820077172,20230227
H211119122,,JIAYE,4500,0,20140616,,0,,0
H211118122,1.0,JIAYE,3645,0,20140616,3645.0,0,,0
R811115C101,1.0,JIAYE,2700,0,20140616,2700.0,0,,0
P220124010,,SHENKA,214,0,20140616,,0,20190328-H01 P220124010,20190328
P220124010,,SHENKA,214,0,20140616,,0,20190513-H01 P220124010,20190513
P220124010,,SHENKA,334,0,20140616,,0,20190328-H01 P220124010,20190328
P220124010,,SHENKA,334,0,20140616,,0,20190513-H01 P220124010,20190513
E423186107,,SHENKA,1500,0,20140616,,0,,0
E423186107,,SHENKA,1509,0,20140616,,0,,0
P223988010,,SHENKA,1094,0,20140616,,0,20190128-H01 P223988010,20190128
P223988010,,SHENKA,1152,0,20140616,,0,20190128-H01 P223988010,20190128
R121651054,,SHENKA,3640,0,20140616,,0,,0
R121651054,,SHENKA,514,0,20140616,,0,,0
T221237100,,SHENKA,8534,0,20140616,,0,,0
P28238010,,SHENKA,950,0,20140616,,0,,0
8B21651500,1.0,SHENKA,922,0,20140616,922.0,0,,0
